PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
51173,"Cyanide, free available",5123,Inorganics,Toxic Inorganics,,"Cyanide, Free Available"
51174,Di[2-ethylhexyl] adipate,11395,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51175,2-Ethylhexanol,10679,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51176,Surfynol 104E,10752,Uncategorized,Uncategorized,,No Match (unconfirmed)
51177,Betzdearborn DG5671,10971,Uncategorized,Uncategorized,,No Match (unconfirmed)
51178,Nonyl phenoxypoly ethanol,11888,Uncategorized,Uncategorized,,No Match (unconfirmed)
51179,Polyethylene glycol,10410,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51180,"O,O-Diethyl S-methyl dithiophosphate",12067,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51181,Glycol mix applied,1939,Uncategorized,Uncategorized,,No Match (unconfirmed)
51182,Production divided by days operated mo.,12134,Uncategorized,Uncategorized,,No Match (unconfirmed)
51183,Ethyl mercaptan,10268,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51184,Acetophene,10959,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51185,"Produced water, TDS",12130,Solids,Dissolved Solids,,No Match (unconfirmed)
51186,"Oxygen demand, nitrogenous, ultimate",11924,Nutrients,Nitrogen,,No Match (unconfirmed)
51187,"Free oil, dewatering effluent",11334,Other,Fuel,,No Match (unconfirmed)
30347,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",11164,Toxic Organics,Toxic Organics,,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin"
30350,"1,2,3,7,8-Pentachlorodibenzofuran",11178,Toxic Organics,Toxic Organics,,"1,2,3,7,8-Pentachlorodibenzofuran"
30351,"2,3,4,7,8-Pentachlorodibenzofuran",11180,Toxic Organics,Toxic Organics,,"2,3,4,7,8-Pentachlorodibenzofuran"
30352,"1,2,3,4,7,8-Hexachlorodibenzofuran",11175,Toxic Organics,Toxic Organics,,"1,2,3,4,7,8-Hexachlorodibenzofuran"
30353,"1,2,3,6,7,8-Hexachlorodibenzofuran",11176,Toxic Organics,Toxic Organics,,"1,2,3,6,7,8-Hexachlorodibenzofuran"
30354,"1,2,3,7,8,9-Hexachlorodibenzofuran",11177,Toxic Organics,Toxic Organics,,"1,2,3,7,8,9-Hexachlorodibenzofuran"
30355,"2,3,4,6,7,8-Hexachlorodibenzofuran",11179,Toxic Organics,Toxic Organics,,"2,3,4,6,7,8-Hexachlorodibenzofuran"
30356,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",11173,Toxic Organics,Toxic Organics,,"1,2,3,4,6,7,8-Heptachlorodibenzofuran"
