IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
%Srv Static Renewal 48Hr Acute Ceriodaphnia dubia,Toxic Organics,Toxic Organics
96Hr Acute Ceriodaphn. Dubia % Srv,Aquatic Toxicity,Aquatic Toxicity
% Survival Static Renewal 96Hr Acute Pimephales promelas,Toxic Organics,Toxic Organics
%Surv Static Renewal 96Hr Oncorhynchus mykiss,Toxic Organics,Toxic Organics
% Survival Flow Through 96Hr Acute Pimephales promelas,Aquatic Toxicity,Aquatic Toxicity
% Survival Flow Through 96Hr Acute Oncorhynchus mykiss,Aquatic Toxicity,Aquatic Toxicity
TU Static 96Hr Acute Medinia beryllina,Aquatic Toxicity,Aquatic Toxicity
"Phenolic compounds, unchlorinated",Inorganics,Disinfectants
"Radiation, gross alpha",Other,Other
"Trihalomethane, tot.",Toxic Organics,Toxic Organics
"Tritium, total",Other,Radiation
"Coliform, fecal general",Toxic Organics,Toxic Organics
"Coliform, total general",Toxic Organics,Toxic Organics
"Carbonaceous oxygen demand, % removal",Organics,COD
Dichlorobenzene,Toxic Organics,Toxic Organics
"Cyanide, total recoverable",Inorganics,Toxic Inorganics
Halomethanes,Toxic Organics,Toxic Organics
Effluent dilution ratio,Flow,Flow
"Hexachlorocyclohexane, total",Toxic Organics,Toxic Organics
"Alpha, gross particle activity",Other,Other
"BOD, carbonaceous [5 day, 20 C]",Organics,COD
"BOD, carb-5 day, 20 deg C, percent removal",Organics,COD
"BOD, 5-day, percent removal",Organics,COD
"Solids, suspended percent removal",Solids,Suspended Solids
TU Static Renewal 96Hr Acute Menidia beryllina,Toxic Organics,Toxic Organics
TU Static 4 Day Chronic Raphidocelis subcapitata (formerly Selenastrum capricornutum),Toxic Organics,Toxic Organics
TU Static 7Day Chronic Ceriodaphnia dubia,Aquatic Toxicity,Aquatic Toxicity
Static 7Day Chronic Pimephales Promelas,Aquatic Toxicity,Aquatic Toxicity
"Phenols, chlorinated",Inorganics,Disinfectants
Specific conductance,Solids,Dissolved Solids
"Nitrogen, ammonia, percent removal",Nutrients,Nitrogen
"Chlorine, total residual, duration of violation",Inorganics,Disinfectants
"Oxygen, dissolved [DO]",Nutrients,Dissolved Oxygen
"BOD, 5-day, 20 deg. C",Organics,COD
"Sulfate, total [as SO4]",Solids,Dissolved Solids
"pH range excursions, > 60 minutes",pH,pH
"pH range excursions, monthly total accum",pH,pH
TCDD equivalents,Toxic Organics,Toxic Organics
"Mercury, total recoverable",Metals,Mercury
"Thallium, total recoverable",Metals,Thallium
"Sodium, total recoverable",Solids,Dissolved Solids
"Beryllium, total recoverable [as Be]",Metals,Beryllium
"Boron, total recoverable",Inorganics,Toxic Inorganics
Static 48Hr Chronic Mytilis Species,Aquatic Toxicity,Aquatic Toxicity
"Phosphorus, total [as P]",Nutrients,Phosphorus
"Molybdenum, total [as Mo]",Metals,Molybdenum
"Nickel, total recoverable",Metals,Nickel
Silver total recoverable,Metals,Silver
"Zinc, total recoverable",Metals,Zinc
"Aluminum, total recoverable",Metals,Aluminum
"Cadmium, total recoverable",Metals,Cadmium
"Lead, total recoverable",Metals,Lead
"Chromium, total recoverable",Metals,Chromium
"Copper, total recoverable",Metals,Copper
"Antimony, total recoverable",Metals,Antimony
"Chromium, hexavalent [as Cr]",Metals,Chromium
"Chromium, trivalent [as Cr]",Metals,Chromium
"Radiation,Gross Beta Particle Activity",Other,Other
TU Static Renewal Chronic Cyprinodeon variegatus,Toxic Organics,Toxic Organics
"Temperature, water deg. centigrade",Temperature,Temperature
"Temperature, water deg. fahrenheit",Temperature,Temperature
Temp. diff. between samp. & upstrm deg. F,Temperature,Temperature
Temperature Increase Deg. F,Temperature,Temperature
"Arsenic, total recoverable",Metals,Arsenic
"Iron, total recoverable",Metals,Iron
"Selenium, total recoverable",Metals,Selenium
"Solids, total suspended",Solids,Suspended Solids
"Solids, settleable",Solids,Suspended Solids
Oil & Grease,Other,Fuel
"Nitrogen, total [as N]",Nutrients,Nitrogen
"Nitrogen, ammonia total [as N]",Nutrients,Nitrogen
"Nitrogen, ammonia, tot unionized [as N]",Nutrients,Nitrogen
"Nitrogen, nitrite total [as N]",Nutrients,Nitrogen
"Ammonia, unionized",Nutrients,Nitrogen
"Nitrogen, nitrate total [as N]",Nutrients,Nitrogen
Nitrite + Nitrate total [as N],Nutrients,Nitrogen
"Nitrogen, inorganic total",Nutrients,Nitrogen
Chloride [as Cl],Solids,Dissolved Solids
%Effect Static Renewal 7 Day Chronic Ceriodaphnia dubia,Toxic Organics,Toxic Organics
%Effect Static Renewal 7Day Chronic Pimephales promelas,Toxic Organics,Toxic Organics
"Carbon, tot organic [TOC]",Organics,COD
"Cyanide, total [as CN]",Inorganics,Toxic Inorganics
"pH Range Excursion, Maximum Duration",pH,pH
Haloacetic acids [HAA5],Toxic Organics,Toxic Organics
%Effect Static 4 Day Chronic Raphidocelis subcapitata,Aquatic Toxicity,Aquatic Toxicity
Pass/Fail Static 48Hr Chronic Macrocystis pyrifera,Aquatic Toxicity,Aquatic Toxicity
Pass/Fail Static 4 Day Chronic Raphidocelis subcapitata,Aquatic Toxicity,Aquatic Toxicity
"Polychlorinated biphenyls [PCBs], sum of Aroclors",Inorganics,Disinfectants
"Strontium 90, total",Other,Radiation
Beta/photon emitters,Other,Other
"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR8dmax C dubia",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd Sublethal Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, StatR7d P promelas",Aquatic Toxicity,Aquatic Toxicity
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr M beryllina",Aquatic Toxicity,Aquatic Toxicity
"Acute Mthd Survival Endpt, %Effect, Median TSTaHo R/nR Pass/Fail, StatR96hr A affinis",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d A bahia",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d P promelas",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd, Survival Endpt %Effect, Growth Endpt Median TSTcHo R/nR Pass/Fail, StatR7d A affinis",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd, Survival Endpt %Effect, Reprod Endpt Median TSTcHo R/nR Pass/Fail, StatR8dmax C dubia",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd Growth Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static96hr R subcapitata",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr H rufescens",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd Fertilization Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static40min S purpuratus",Aquatic Toxicity,Aquatic Toxicity
"Chronic Mthd Germination Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr M pyrifera",Aquatic Toxicity,Aquatic Toxicity
