PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY,PARAMETER_CODE_CLEAN
34521,Benzo[ghi]perylene,10956,A,59,,Y,2.0,Benzo[ghi]perylene,Uncommon,Uncommon,34521
34526,Benzo[a]anthracene,10109,A,59,,Y,2.0,Benzo[a]anthracene,Uncommon,Uncommon,34526
34531,"1,2-Dichloroethane, total weight",10262,I,59,,Y,2.0,,,,34531
34534,"1,2-Dichloroethane, dry weight",10262,A,59,,Y,2.0,,,,34534
34536,"1,2-Dichlorobenzene",10133,A,59,,Y,2.0,"1,2-Dichlorobenzene",Uncommon,Uncommon,34536
34539,"1,2-Dichlorobenzene, dry weight",10133,A,59,,Y,2.0,,,,34539
34541,"1,2-Dichloropropane",10417,A,59,,Y,2.0,"1,2-Dichloropropane",Uncommon,Uncommon,34541
34544,"1,2-Dichloropropane, dry weight",10417,A,59,,Y,2.0,,,,34544
34546,"trans-1,2-Dichloroethylene",10280,A,59,,Y,2.0,"trans-1,2-Dichloroethylene",Uncommon,Uncommon,34546
34549,"1,2-trans-Dichloroethylene, dry weight",10280,A,59,,Y,2.0,,,,34549
34551,"1,2,4-Trichlorobenzene",10130,A,59,,Y,2.0,"1,2,4-Trichlorobenzene",Uncommon,Uncommon,34551
34554,"1,2,4-Trichlorobenzene, dry weight",10130,A,59,,Y,2.0,,,,34554
34556,"Dibenz[a,h]anthracene",10238,A,59,,Y,2.0,"Dibenz[a,h]anthracene",Toxic Organics,Toxic Organics,34556
34559,"Dibenzo[a,h]anthracene, dry weight",10238,A,59,,Y,2.0,,,,34559
34561,"1,3-Dichloropropene, total weight",10031,I,59,,Y,2.0,,,,34561
34566,"1,3-Dichlorobenzene",10136,A,59,,Y,2.0,"1,3-Dichlorobenzene",Uncommon,Uncommon,34566
34569,"1,3-Dichlorobenzene, dry weight",10136,A,59,,Y,2.0,,,,34569
34571,"1,4-Dichlorobenzene",10140,A,59,,Y,2.0,"1,4-Dichlorobenzene",Toxic Organics,Toxic Organics,34571
34574,"1,4-Dichlorobenzene, dry weight",10140,A,59,,Y,2.0,,,,34574
34576,"2-Chloroethyl vinyl ether, [mixed]",11286,A,59,,Y,2.0,"2-Chloroethyl vinyl ether, [mixed]",Uncommon,Uncommon,34576
34579,"2-Chloroethyl vinyl ether, dry weight",11286,A,59,,Y,2.0,,,,34579
34581,2-Chloronaphthalene,11875,A,59,,Y,2.0,2-Chloronaphthalene,Uncommon,Uncommon,34581
34586,2-Chlorophenol,10383,A,59,,Y,2.0,2-Chlorophenol,Uncommon,Uncommon,34586
34591,2-Nitrophenol,10385,A,59,,Y,2.0,2-Nitrophenol,Uncommon,Uncommon,34591
34596,Di-n-octyl phthalate,10009,A,59,,Y,2.0,Di-n-octyl phthalate,Uncommon,Uncommon,34596
34599,"Di-n-octyl phthalate, dry weight",10009,A,59,,Y,2.0,,,,34599
34601,"2,4-Dichlorophenol",12010,A,59,,Y,2.0,"2,4-Dichlorophenol",Uncommon,Uncommon,34601
34606,"2,4-Dimethylphenol",10382,A,59,,Y,2.0,"2,4-Dimethylphenol",Uncommon,Uncommon,34606
34611,"2,4-Dinitrotoluene",10144,A,59,,Y,2.0,"2,4-Dinitrotoluene",Toxic Organics,Toxic Organics,34611
34614,"2,4-Dinitrotoluene, dry weight",10144,A,59,,Y,2.0,,,,34614
34616,"2,4-Dinitrophenol",12011,A,59,,Y,2.0,"2,4-Dinitrophenol",Toxic Organics,Toxic Organics,34616
34619,"2,4-Dinitrophenol, dry weight",12011,A,59,,Y,,,,,34619
