GLOBAL ID,REPORTING YEAR,REPORTING MONTH,NON OPERATIONAL,INFLUENT VOLUME,INFLUENT TYPE,INFLUENT TYPE EST EXPLANATION,EFF NOT WITHIN 20 EXPLANATION,INFLUENT 0 EXPLANATION,WWTP 1,WWTP VOL 1,WWTP 2,WWTP VOL 2,WWTP 3,WWTP VOL 3,WWTP 4,WWTP VOL 4,WWTP 5,WWTP VOL 5
NPD100051592,2019,7,NA,126.8,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051605,2019,4,NA,69,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051605,2019,5,NA,81,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034743,2019,1,NA,4.75,metered,NA,Discharged excess in preparation for wet weather.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034743,2019,6,NA,3.27,metered,NA,Increased aeration retention time.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034743,2019,12,NA,3.7,metered,NA,Discharged excess in preparation for wet weather.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035075,2020,2,NA,231,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051585,2019,9,NA,389.3,metered,NA,Prohibition of discharge.  Balance of effluent stored in ponds.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100030780,2019,2,NA,3.8,estimated,estimated from hour meters on lift station pumps,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,3,NA,58.544,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,4,NA,60.774,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,5,NA,60.037,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2019,6,NA,59.859,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2020,1,NA,59.55,metered,NA,Influent totalizer failing - replacement on order,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100029631,2020,2,NA,59.49,metered,NA,Influent totalizer failing - replacement on order,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100036941,2019,3,NA,1064.87,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100036941,2019,7,NA,1076.12,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051558,2019,7,NA,43.83,metered,NA,Replaced faulty influent meter.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051558,2019,10,NA,22.63,metered,NA,Stored recycled water that could not be discharged.,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,1,NA,334.878,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051558,2019,12,NA,51.31,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,7,NA,361.148,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,8,NA,362.376,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051591,2019,9,NA,338.438,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051845,2019,1,NA,1342,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100035996,2019,8,NA,1576,estimated,Recycle usage volume for different categories is an estimated volume,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051553,2019,11,NA,4578.43,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051553,2019,12,NA,4769.72,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,4,NA,323,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,6,NA,269.8,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,7,NA,259.5,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,10,NA,241.8,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051498,2019,12,NA,307.1,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100037396,2019,1,NA,135,metered,NA,wet season storage in use,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100037396,2019,2,NA,182.3,metered,NA,Flow directed to wet season recycled water storage reservoir,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
