CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE,LATITUDE,LONGITUDE,CITY
20001025001,20001025001t0,LUCAS WWTP (Collection: Separate Sewers),['KS0095222'],448.0,Collection: Separate Sewers,0.054,,KS,39.0536,-98.527,Lucas
29000959001,29000959001t1,Park Hills Mineral Belt WWTP (Treatment Plant),['MO0103560'],14331.0,Treatment Plant,2.05,St. Francois,MO,37.88328,-90.50331,Bonne Terre
29000959001,29000959001t0,Park Hills Mineral Belt WWTP (Collection: Separate Sewers),['MO0103560'],14331.0,Collection: Separate Sewers,2.05,St. Francois,MO,37.88328,-90.50331,Bonne Terre
29001051001,29001051001t0,Bloomfield WWTP (Collection: Separate Sewers),['MO0050326'],2404.0,Collection: Separate Sewers,0.3,Stoddard,MO,36.897812,-89.943267,Bloomfield
29001051001,29001051001t1,Bloomfield WWTP (Treatment Plant),['MO0050326'],2404.0,Treatment Plant,0.3,Stoddard,MO,36.897812,-89.943267,Bloomfield
29003742100,29003742100,Cuivre River State Park,['MO0121886'],100.0,Collection: Separate Sewers,,,MO,38.988915,-90.870718,Winfield
29004112002,29004112002t1,Osceola WWTP #1 (Treatment Plant),['MO0093548'],1235.0,Treatment Plant,0.15,,MO,38.04944,-93.703889,Osceola
29004112002,29004112002t0,Osceola WWTP #1 (Collection: Separate Sewers),['MO0093548'],1235.0,Collection: Separate Sewers,0.15,,MO,38.04944,-93.703889,Osceola
21000018005,21000018005,BOYD CO. S.D.#2,['KYP000035'],3625.0,Collection: Separate Sewers,,Boyd,KY,38.4597,-82.6474,Ashland
21000062001,21000062001t1,WHEELWRIGHT STP (Treatment Plant),['KY0028789'],761.0,Treatment Plant,0.225,Floyd,KY,37.3489,-82.7175,Wheelwright
21000062001,21000062001t0,WHEELWRIGHT STP (Collection: Separate Sewers),['KY0028789'],761.0,Collection: Separate Sewers,0.225,Floyd,KY,37.3489,-82.7175,Wheelwright
21000176001,21000176001t0,BROOKSVILLE (Collection: Separate Sewers),['KY0025232'],740.0,Collection: Separate Sewers,0.2,,KY,38.6842,-84.06,Brooksville
21000176001,21000176001t1,BROOKSVILLE (Treatment Plant),['KY0025232'],740.0,Treatment Plant,0.2,,KY,38.6842,-84.06,Brooksville
23000098001,23000098001t0,FAIRFIELD COL SYS (Collection: Combined Sewers),,4406.0,Collection: Combined Sewers,,,ME,44.5806,-69.6039,Fairfield
