"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"06000000103",3607909,"CA","Discharge To Another Facility",16,16,"06009031002"
"06008024001",1175978,"CA","Discharge To Another Facility",100,100,"06000000105"
"06001003001",1175169,"CA","Evaporation",100,100,""
"06001093001",1175240,"CA","Evaporation",100,100,""
"06002023001",1175281,"CA","Outfall To Surface Waters",50,50,""
"06001040001",1175205,"CA","Outfall To Surface Waters",50,50,""
"06001040001",1175205,"CA","Evaporation",50,50,""
"06002074001",1175336,"CA","Outfall To Surface Waters",40,40,""
"06002074001",1175336,"CA","Reuse: Irrigation",58,58,""
"06003012001",1175381,"CA","Ocean Discharge",85,85,""
"06003047001",1175415,"CA","Outfall To Surface Waters",100,100,""
"06004010004",1175494,"CA","Outfall To Surface Waters",66,66,""
"06004010004",1175494,"CA","Reuse: Irrigation",34,34,""
"06005081001",1175598,"CA","Evaporation",20,20,""
"06005081001",1175598,"CA","Reuse: Irrigation",20,20,""
"06005102002",1175625,"CA","Discharge To Another Facility",100,100,"06005421001"
"06005157001",1175675,"CA","Outfall To Surface Waters",60,60,""
"06005157001",1175675,"CA","Reuse: Irrigation",20,20,""
"06005297001",1175754,"CA","Reuse: Irrigation",100,100,""
