CWNS_ID,PERMIT_NUMBER,population_cwns,population_covid,population_sso,source,Population Served
6005360001,86-108,1506,NA,NA,CWNS,1506
6005366001,R5-2009-0108,666,NA,NA,CWNS,666
6005367001,R5-99-100; CA0084239,1170,NA,NA,CWNS,1170
6005368001,CA0078891,12524,NA,NA,CWNS,12524
6005421001,R5-2017-0085-011,7647,NA,NA,CWNS,7647
6005511002,R5-2013-0062,1277,NA,NA,CWNS,1277
6005511004,99-004,284,NA,NA,CWNS,284
6005551001,"R5-2012-0045,",286,NA,NA,CWNS,286
6005607001,98-214,2381,NA,NA,CWNS,2381
6005681001,CA0077828,5918,NA,NA,CWNS,5918
6005682001,CA0083241,441,NA,NA,CWNS,441
6005693001,2014-0153-DWQ-R5303,450,NA,NA,CWNS,450
6005780001,CA0000000,737,NA,NA,CWNS,737
6005783001,CA0080489,2696,NA,NA,CWNS,2696
6006002001,CA0102695,15998,NA,NA,CWNS,15998
6006004001,R6T-2004-0010,33011,NA,NA,CWNS,33011
6006005001,R6V-2019-0252,23374,NA,NA,CWNS,23374
6006008001,R6T-2002-0030,51159,NA,NA,CWNS,51159
6006009001,CA0102822,230482,NA,NA,CWNS,230482
6006010001,R6V-2009-0035; 2006-0003-DWQ,7380,NA,NA,CWNS,7380
6006011001,2016-0039-DWQ,788,NA,NA,CWNS,788
6006013001,2013-0002-DWQ,10079,NA,NA,CWNS,10079
6006021001,WDR-R6-1994-0057,8573,NA,NA,CWNS,8573
6006027001,WDID No.: 6A26530090; NO. 6Â·01Â·12,766,NA,NA,CWNS,766
6006028002,NO. 6-96-18,906,NA,NA,CWNS,906
6006031001,6-01-55,1338,NA,NA,CWNS,1338
6006041001,R6V-2019-0251,19371,NA,NA,CWNS,19371
6006049001,NO. 6-01-36,3600,NA,NA,CWNS,3600
6007002001,CA0104426,39493,NA,NA,CWNS,39493
6007003001,R7-2015-0013,43131,NA,NA,CWNS,43131
6007005001,CA7000009,36316,40000,NA,CWNS+COVID,38158
6007007001,CA0105015,7200,NA,NA,CWNS,7200
6007010001,CAL000372,16014,NA,NA,CWNS,16014
6007011001,CA0104370,3334,NA,NA,CWNS,3334
6007013001,CA0104361,4991,NA,NA,CWNS,4991
6007014001,CA0104400,19227,NA,NA,CWNS,19227
6007018001,CA0105023,1890,NA,NA,CWNS,1890
6007019001,CA0105007,2030,NA,NA,CWNS,2030
6007021001,R7-2022-0008,26897,NA,NA,CWNS,26897
6007022001,CA0104523; R7-05-21,42320,NA,NA,CWNS,42320
6007023001,CA0104299,5400,NA,NA,CWNS,5400
6007025001,CA0104493,68400,NA,NA,CWNS,68400
6007029001,CA0104477,75413,NA,NA,CWNS,75413
6007032001,CAL000410,26528,NA,NA,CWNS,26528
6007069001,R7-2018-0003,0,NA,NA,CWNS,0
6007770001,R7-2015-0043,15829,NA,NA,CWNS,15829
6008001001,CA0105350,366930,NA,NA,CWNS,366930
6008003001,CAS618033,11816,NA,NA,CWNS,11816
6008004001,CA0105392,343107,325000,NA,CWNS+COVID,334053.5
6008007001,CA8000344,44618,NA,NA,CWNS,44618
6008010001,CA0105279; R8-01-01 ; CA8000409,409304,NA,NA,CWNS,409304
6008010004,CA8000409; CA0105279,125940,NA,NA,CWNS,125940
6008010005,R8-04-006; CA8000402; CA8000409,141682,NA,NA,CWNS,141682
6008010006,R8-04-020; CA8000073; CA8000409,110197,NA,NA,CWNS,110197
6008012001,CA0105376,35798,NA,NA,CWNS,35798
6008016003,CA8000316,113419,NA,NA,CWNS,113419
6008019001,R8-01-009; CA0105619,58500,NA,NA,CWNS,58500
6008020001,CA8000383,104926,NA,NA,CWNS,104926
6008020002,R8-2011-0015,50486,NA,NA,CWNS,50486
6008020003,CA8000395,9124,NA,NA,CWNS,9124
6008022001,CA0110604,1061827,1800000,NA,CWNS+COVID,1430913.5
6008024001,CA0105236,60354,NA,NA,CWNS,60354
6008034001,96-34,25153,NA,NA,CWNS,25153
6008052001,CA0105295,135000,NA,NA,CWNS,135000
